name,timestamp,day,hour,lat,lng,capacity_est,popularity,visitors
66 Pally,2025-09-22 00:00:00,Mahalaya,0,22.4906039,88.3706226,8576,major,571
66 Pally,2025-09-22 01:00:00,Mahalaya,1,22.4906039,88.3706226,8576,major,675
66 Pally,2025-09-22 02:00:00,Mahalaya,2,22.4906039,88.3706226,8576,major,838
66 Pally,2025-09-22 03:00:00,Mahalaya,3,22.4906039,88.3706226,8576,major,60
66 Pally,2025-09-22 04:00:00,Mahalaya,4,22.4906039,88.3706226,8576,major,87
66 Pally,2025-09-22 05:00:00,Mahalaya,5,22.4906039,88.3706226,8576,major,105
66 Pally,2025-09-22 06:00:00,Mahalaya,6,22.4906039,88.3706226,8576,major,311
66 Pally,2025-09-22 07:00:00,Mahalaya,7,22.4906039,88.3706226,8576,major,255
66 Pally,2025-09-22 08:00:00,Mahalaya,8,22.4906039,88.3706226,8576,major,267
66 Pally,2025-09-22 09:00:00,Mahalaya,9,22.4906039,88.3706226,8576,major,306
66 Pally,2025-09-22 10:00:00,Mahalaya,10,22.4906039,88.3706226,8576,major,181
66 Pally,2025-09-22 11:00:00,Mahalaya,11,22.4906039,88.3706226,8576,major,151
66 Pally,2025-09-22 12:00:00,Mahalaya,12,22.4906039,88.3706226,8576,major,292
66 Pally,2025-09-22 13:00:00,Mahalaya,13,22.4906039,88.3706226,8576,major,363
66 Pally,2025-09-22 14:00:00,Mahalaya,14,22.4906039,88.3706226,8576,major,332
66 Pally,2025-09-22 15:00:00,Mahalaya,15,22.4906039,88.3706226,8576,major,383
66 Pally,2025-09-22 16:00:00,Mahalaya,16,22.4906039,88.3706226,8576,major,265
66 Pally,2025-09-22 17:00:00,Mahalaya,17,22.4906039,88.3706226,8576,major,641
66 Pally,2025-09-22 18:00:00,Mahalaya,18,22.4906039,88.3706226,8576,major,607
66 Pally,2025-09-22 19:00:00,Mahalaya,19,22.4906039,88.3706226,8576,major,774
66 Pally,2025-09-22 20:00:00,Mahalaya,20,22.4906039,88.3706226,8576,major,522
66 Pally,2025-09-22 21:00:00,Mahalaya,21,22.4906039,88.3706226,8576,major,847
66 Pally,2025-09-22 22:00:00,Mahalaya,22,22.4906039,88.3706226,8576,major,897
66 Pally,2025-09-22 23:00:00,Mahalaya,23,22.4906039,88.3706226,8576,major,776
Ahiritola Sarbojanin,2025-09-22 00:00:00,Mahalaya,0,22.5948384,88.357193,11226,local,453
Ahiritola Sarbojanin,2025-09-22 01:00:00,Mahalaya,1,22.5948384,88.357193,11226,local,662
Ahiritola Sarbojanin,2025-09-22 02:00:00,Mahalaya,2,22.5948384,88.357193,11226,local,578
Ahiritola Sarbojanin,2025-09-22 03:00:00,Mahalaya,3,22.5948384,88.357193,11226,local,44
Ahiritola Sarbojanin,2025-09-22 04:00:00,Mahalaya,4,22.5948384,88.357193,11226,local,55
Ahiritola Sarbojanin,2025-09-22 05:00:00,Mahalaya,5,22.5948384,88.357193,11226,local,47
Ahiritola Sarbojanin,2025-09-22 06:00:00,Mahalaya,6,22.5948384,88.357193,11226,local,207
Ahiritola Sarbojanin,2025-09-22 07:00:00,Mahalaya,7,22.5948384,88.357193,11226,local,189
Ahiritola Sarbojanin,2025-09-22 08:00:00,Mahalaya,8,22.5948384,88.357193,11226,local,183
Ahiritola Sarbojanin,2025-09-22 09:00:00,Mahalaya,9,22.5948384,88.357193,11226,local,119
Ahiritola Sarbojanin,2025-09-22 10:00:00,Mahalaya,10,22.5948384,88.357193,11226,local,153
Ahiritola Sarbojanin,2025-09-22 11:00:00,Mahalaya,11,22.5948384,88.357193,11226,local,198
Ahiritola Sarbojanin,2025-09-22 12:00:00,Mahalaya,12,22.5948384,88.357193,11226,local,215
Ahiritola Sarbojanin,2025-09-22 13:00:00,Mahalaya,13,22.5948384,88.357193,11226,local,180
Ahiritola Sarbojanin,2025-09-22 14:00:00,Mahalaya,14,22.5948384,88.357193,11226,local,196
Ahiritola Sarbojanin,2025-09-22 15:00:00,Mahalaya,15,22.5948384,88.357193,11226,local,264
Ahiritola Sarbojanin,2025-09-22 16:00:00,Mahalaya,16,22.5948384,88.357193,11226,local,275
Ahiritola Sarbojanin,2025-09-22 17:00:00,Mahalaya,17,22.5948384,88.357193,11226,local,633
Ahiritola Sarbojanin,2025-09-22 18:00:00,Mahalaya,18,22.5948384,88.357193,11226,local,514
Ahiritola Sarbojanin,2025-09-22 19:00:00,Mahalaya,19,22.5948384,88.357193,11226,local,407
Ahiritola Sarbojanin,2025-09-22 20:00:00,Mahalaya,20,22.5948384,88.357193,11226,local,334
Ahiritola Sarbojanin,2025-09-22 21:00:00,Mahalaya,21,22.5948384,88.357193,11226,local,441
Ahiritola Sarbojanin,2025-09-22 22:00:00,Mahalaya,22,22.5948384,88.357193,11226,local,547
Ahiritola Sarbojanin,2025-09-22 23:00:00,Mahalaya,23,22.5948384,88.357193,11226,local,373
Badamtala Ashar Sangha,2025-09-22 00:00:00,Mahalaya,0,22.5179272,88.3441647,12477,major,973
Badamtala Ashar Sangha,2025-09-22 01:00:00,Mahalaya,1,22.5179272,88.3441647,12477,major,975
Badamtala Ashar Sangha,2025-09-22 02:00:00,Mahalaya,2,22.5179272,88.3441647,12477,major,1553
Badamtala Ashar Sangha,2025-09-22 03:00:00,Mahalaya,3,22.5179272,88.3441647,12477,major,121
Badamtala Ashar Sangha,2025-09-22 04:00:00,Mahalaya,4,22.5179272,88.3441647,12477,major,115
Badamtala Ashar Sangha,2025-09-22 05:00:00,Mahalaya,5,22.5179272,88.3441647,12477,major,108
Badamtala Ashar Sangha,2025-09-22 06:00:00,Mahalaya,6,22.5179272,88.3441647,12477,major,247
Badamtala Ashar Sangha,2025-09-22 07:00:00,Mahalaya,7,22.5179272,88.3441647,12477,major,359
